TFname;Type;X;Y;Z;TF
Brc 01_T1L;NB;0;0;0;*
Brc 01_T1L;pMN;16.765;3.193;-2;*
Brc 01_T1L;pMN;14.051;6.227;-2;*
Brc 01_T1L;pMN;12.295;1.916;-2;*
Brc 01_T1L;pMN;9.261;3.832;-2;*
Brc 01_T1L;pMN;6.387;1.916;-2;*
Brc 01_T1L;pMN;3.194;4.63;-2;*
Brc 01_T1L;pMN;3.992;8.781;-2;*
Brc 01_T1L;pMN;9.9;8.941;-2;*
Brc 01_T1L;pMN;11.496;-2.076;0;
Brc 01_T1L;pMN;15.328;0.798;0;
Brc 01_T1L;pMN;1.278;-6.068;0;*
Brc 01_T1L;pMN;5.748;1.437;0;*
Brc 01_T1L;pMN;3.673;6.386;0;*
Brc 01_T1L;pMN;13.891;5.109;0;*
Brc 01_T1L;GMC;4.631;-2.715;0;
Brc 01_T1L;GMC;3.832;-5.908;0;
Brc 01_T1L;pMN;9.421;2.395;1;*
Brc 01_T1L;pMN;8.622;7.664;1;*
Brc 01_T1L;GMC;2.874;-0.16;1;
Brc 01_T1L;pMN;3.673;3.672;2;*
Brc 01_T1L;GMC;4.152;-3.353;3;
Brc 01_T1L;pMN;6.866;-6.547;4;
Brc 01_T1L;pMN;7.505;-4.631;4;*
Brc 01_T1L;pMN;7.185;-1.118;4;*
Brc 01_T1L;pMN;6.387;2.075;4;*
Brc 01_T1L;pMN;3.832;-9.58;4;
Brc 01_T1L;pMN;0.639;-6.227;4;
Brc 01_T1L;pMN;2.555;-0.32;5;*
Brc 01_T1L;pMN;1.118;2.874;5;
Brc 01_T1L;GMC;4.152;-5.11;5;
Brc 01_T1L;pMN;1.597;-10.379;7;
Brc 01_T1L;pMN;7.664;-11.337;7;*
Brc 01_T1L;pMN;10.059;-2.395;7;*
Brc 01_T1L;pMN;11.975;-6.227;7;
Brc 01_T1L;pMN;12.774;-16.446;7;
Brc 01_T1L;pMN;11.337;-11.816;9;
Brc 01_T1L;pMN;0.639;-4.631;9;
Brc 01_T1L;pMN;5.11;-6.068;9;*
Brc 01_T1L;pMN;7.984;-7.984;12;*
Brc 01_T1L;pMN;13.093;-8.143;12;
Brc 01_T1L;pMN;4.471;-12.295;14;
Brc 01_T1L;pMN;4.471;-12.454;18;
Brc 01_T1L;pMN;8.942;-12.614;18;
Brc 01_T1L;pMN;14.211;-13.891;18;
Brc 01_T1R;NB;0;0;0;*
Brc 01_T1R;pMN;-4.79;-1.916;0;*
Brc 01_T1R;pMN;-1.278;-5.748;0;*
Brc 01_T1R;GMC;4.151;2.555;0;
Brc 01_T1R;GMC;4.151;-0.798;0;
Brc 01_T1R;pMN;-3.992;0.958;1;*
Brc 01_T1R;pMN;-3.034;-7.823;2;*
Brc 01_T1R;pMN;-5.908;-2.235;2;*
Brc 01_T1R;pMN;2.554;-6.546;2;*
Brc 01_T1R;pMN;4.311;-3.353;2;*
Brc 01_T1R;pMN;3.353;0.799;2;
Brc 01_T1R;pMN;5.907;0;2;
Brc 01_T1R;pMN;-0.32;-5.588;3;*
Brc 01_T1R;pMN;1.756;-2.714;3;*
Brc 01_T1R;pMN;-2.395;-1.916;3;*
Brc 01_T1R;pMN;1.596;0.958;3;*
Brc 01_T1R;GMC;3.033;3.513;3;
Brc 01_T1R;GMC;1.117;3.194;4;
Brc 01_T1R;pMN;-4.471;-7.504;5;*
Brc 01_T1R;pMN;-4.471;-3.672;5;*
Brc 01_T1R;pMN;4.311;-10.697;6;
Brc 01_T1R;pMN;5.588;-7.185;6;*
Brc 01_T1R;pMN;7.823;-1.916;6;*
Brc 01_T1R;pMN;1.117;-5.428;6;*
Brc 01_T1R;pMN;1.756;-2.235;6;*
Brc 01_T1R;pMN;-0.16;-9.899;8;*
Brc 01_T1R;pMN;7.823;-7.823;8;
Brc 01_T1R;pMN;2.554;-1.596;9;*
Brc 01_T1R;pMN;-0.479;-5.269;9;
Brc 01_T1R;pMN;2.075;-5.428;9;*
Brc 01_T1R;pMN;1.117;-11.017;11;
Brc 01_T1R;pMN;6.865;-2.554;11;
Brc 01_T1R;pMN;7.025;-8.462;11;*
Brc 01_T1R;pMN;0.798;-14.05;14;*
Brc 01_T1R;pMN;6.865;-13.731;14;
Brc 01_T1R;pMN;-4.631;-6.227;14;*
Brc 01_T1R;pMN;-6.068;-2.714;14;
Brc 01_T1R;pMN;3.672;-11.336;16;
Brc 01_T1R;pMN;3.991;-6.865;16;
Brc 01_T1R;pMN;9.42;-9.26;16;
Brc 01_T1R;pMN;3.193;-14.849;17;
Brc 01_T1R;pMN;10.538;-7.344;19;*
